;origin;shrub_cov;herb_cov;kryp_cov;litter_cov;open_cov;WHC [%vol];WHC [weigth%];P;pH_H2O;pH_CaCl;con;C_com;N_com;C/N;L;F;R;N;MV;WV;TV;FW
H30_3_1;Cont. grazed;0;90;15;70;2;58.65;69.25256819;17;6;5.3;35;13.1;1;13.1;7.661150664;3.281872252;8.325158228;3.495407945;5.280993992;4.506007646;3.683779356;4.211906062
H30_3_2;Cont. grazed;0;80;30;80;5;55.79;66.52754591;16.94;5.8;4.7;42;8.9;1.15;7.919230769;7.617234469;3.849836525;7.191362019;3.966090246;5.505685987;4.230557594;3.487527513;4.661775495
H30_3_3;Cont. grazed;0;75;25;70;12;56.06;75.03680899;13.91;6;4.8;22;5.85;0.35;17;7.332415692;4.10056926;6.796710405;3.856740494;5.396934537;4.158286778;3.591749033;4.284629709
H30_3_4;Cont. grazed;0;80;45;85;2;51.03;46.42889637;11.28;6.4;4.7;81;32.5;2.75;11.82407407;6.997953366;3.573848414;7.051422695;3.076880347;5.389057751;4.328267477;3.854103343;4.221884498
H30_3_5;Cont. grazed;0;80;35;80;5;52.24;53.02476654;16.67;5.5;4.7;31;10.8;0.85;12.79166667;7.755611693;5.372325785;7.151494379;4.63637346;5.587606838;4.011277303;2.998100665;4.566951567
H30_4_1;Cont. grazed;0;80;10;80;5;53.9;56.8385532;10.62;5.9;4.9;39;25.35;2.15;11.79761905;7.138238441;4.274495322;6.353697975;3.498169755;5.464957485;3.915356867;3.938546766;4.715021902
H30_4_2;Cont. grazed;0;70;25;70;15;9.26;9.353535354;10.87;5.4;4.6;35;20.45;1.65;12.39705882;7.274947126;4.401366211;6.598381971;3.759114882;5.402795266;4.372953916;3.998992697;3.843112566
H30_4_3;Cont. grazed;0;55;60;90;2;7.64;6.636553162;12.23;6.1;4.8;33;21.4;1.55;13.81875;7.202337072;4.90272984;6.025355529;2.766345265;5.190274553;4.576560579;4.597049583;3.583526841
H30_4_4;Cont. grazed;1;70;20;75;20;47.54;44.99337498;11.07;5.7;4.9;34;21.2;1.65;12.85110294;7.63421872;3.943408404;7.149521531;2.63121566;4.649236066;4.826339574;4.542392942;3.033032064
H30_4_5;Cont. grazed;0;90;0;85;10;61.23;78.42961445;27.19;5.9;4.8;42;29.95;2.4;12.48076923;7.597741239;4.036659878;7.131119184;4.477824568;6.011207845;4.474231962;3.786950866;4.854998499
