;Abi.abi;Aca.mut;Ach.mil;Agr.eup;Agr.cap;Agr.gig;Aju.gen;Amb.ser;Anc.off;Ano.lon;Ant.odo;Ape.spi;Are.ser;Arm.elo;Arr.ela;Ast.maj;Bar.con;Bra.syl;Bra.alb;Bra.cam;Bra.mil;Bra.rut;Bra.sal;Bra.vel;Bro.hor;Bro.ine;Bry.alg;Bry.atr;Bry.cre;Cal.epi;Cal.cus;Cam.per;Cam.rap;Car.hir;Car.lep;Car.mur;Car.car;Cen.jac;Cen.sto;Cep.bic;Cer.arv;Cer.hol;Cer.sem;Cer.riv;Cet.acu;Cha.bul;Cir.arv;Cla.fur;Cla.pyx;Cla.ran;Cla.sym;Cli.den;Cor.var;Cor.can;Cra.mon;Cre.bie;Cre.cap;Cre.nic;Cyn.cri;Cyt.sco;Dac.glo;Dau.car;Des.ces;Dia.del;Dic.cir;Dry.fil;Ech.vul;Ely.can;Ely.rep;Eri.ann;Ero.ver;Eup.cyp;Eur.ang;Eur.pra;Eur.str;Fes.aru;Fes.bre;Fes.ovi;Fes.rub;Fil.min;Gal.alb;Gal.ver;Ger.pra;Ger.rob;Geu.riv;Geu.urb;Gle.hed;Hed.hel;Hel.pub;Hie.pil;Hol.lan;Hyp.per;Hyp.cup;Hyp.lac;Hyp.pal;Hyp.res;Hyp.rad;Imp.par;Jas.mon;Jun.ten;Kna.arv;Koe.mac;Lat.nis;Lat.pra;Leu.vul;Lig.vul;Lol.per;Lot.cor;Luz.cam;Lys.num;Med.fal;Med.lup;Med.min;Mni.mar;Myo.str;Ono.rep;Ono.spi;Par.qui;Pel.ruf;Pet.pro;Phl.pra;Pim.sax;Pla.aff;Pla.cus;Pla.ros;Pla.lan;Poa.com;Poa.pra;Pol.jun;Pol.pil;Pop.alb;Pot.ans;Pot.arg;Pot.rec;Pot.rep;Pru.pad;Pru.ser;Pru.spi;Que.rob;Rac.het;Ran.acr;Ran.bul;Ran.nem;Rhy.squ;Rub.fru;Rub.ida;Rum.ace;Rum.ace1;San.min;San.off;Sca.col;Scl.pur;Sed.sex;Sen.jac;Ste.gra;Tan.vul;Tar.off;The.pyr;Thu.tam;Thy.pul;Tor.jap;Tor.rur;Tri.arv;Tri.cam;Tri.dub;Tri.pra;Tri.rep;Urt.dio;Val.pro;Ver.den;Ver.lyc;Ver.nig;Ver.cha;Ver.pra;Ver.ser;Ver.teu;Vic.ang;Vic.hir;Vic.par;Vic.sep;Vic.syl;Vic.tet;Vio.arv;Vio.riv;Vul.myu
H30_3_1;0;0;2.5;0;0.5;0;0;0;0;0;0;0.5;0;0.01;0.5;0;0;0;0;0;0;8.8;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.8;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;2.5;0;37.5;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0.5;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0.5;0.01;0;0;0;0;0;0;0
H30_3_2;0;0;0.5;0;0.5;0;0;0;0;0;0;0.5;0;2.5;2.5;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;20;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;2.5;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.8;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0;0.5;0.5;0;0;0.5;0.5;0;0;0;0;0;0;0
H30_3_3;0;0;0.5;0;2.5;0;0;0;0;0;0;0.5;0;2.5;2.5;0;0;0;2.5;0;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0.5;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;8.8;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;8.8;0;0;20;0;0;0;0;0;0;0.01;0;0;0;0;0;8.8;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0
H30_3_4;0;0;0;0;0.5;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;37.5;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;2.5;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;8.8;0;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0
H30_3_5;0;0;2.5;0;0;0;0;0;0;0;0.5;0;0;0.01;8.8;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;37.5;0;0;2.5;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;8.8;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;8.8;2.5;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;37.5;0;0;0;0;0.5;0;0.01;0;0;0;0;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0.01;0.01;0;0;0;0;0;0;0
H30_4_1;0;0;0;0;8.8;0;0;0;0;0;0;0;0;0.01;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.8;0;0;0;0;0;0;0;0;0;37.5;0;0;0;0;0;0;0.5;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0.5;0;0;0;0;0;0;0;0;0;0;0.5;0;0.01;0;0;0.5;2.5;2.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;2.5;0;2.5;0;0;2.5;0;0;0;0;0;0;0;2.5;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.8;0;0;0.01;0;0
H30_4_2;0;0;2.5;0;0.5;0;0;0;0;0;0.5;0;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.5;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;2.5;8.8;0;0;0;0;0;0;0;8.8;0;0;0;0;0;0;0;0;8.8;0;0;20;0;0;0;0;2.5;0;0;0.5;0;0;0;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;2.5;0;0;0;0;0;0;0
H30_4_3;0;0;2.5;0;2.5;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.8;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;8.8;0;0;0;0;0;0;0;0;2.5;8.8;8.8;0;0;0;0;0;2.5;0;8.8;0;0;0;0;0;0;0;0;37.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;2.5;0.01;0;0;0;0;0;0
H30_4_4;0;0;2.5;2.5;2.5;0;0;0;0;0;0.01;0;0;2.5;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0.01;8.8;0;0.5;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0.5;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.8;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;8.8;0;0;0;0;8.8;0;0;0;0;0;0;0;0;2.5;2.5;20;0;0;0;0;0;2.5;0;2.5;0;0;0;0;0;0;0;0;8.8;0;0;2.5;0;0.01;0;0;0;0;0;0;0;0;0;0;37.5;0;0;0;0;0;0;0.5;0;0;0;0;0;2.5;0;0;0;0.01;0.5;0;0;0;0;0;0;0
H30_4_5;0;0;8.8;0;8.8;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;2.5;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;37.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;8.8;0;0;0;0.01;0.5;0;0;0;0;0;0;0
